TRANSACTIONID,CUSTOMERID,TRANSACTIONAMOUNT,ISSTANDARDORDER,ISURGENT,PRODUCTCATEGORY,WAREHOUSE_COST_BASE,URGENT_SURCHARGE,TOTAL_WAREHOUSE_COST
TXN-2023-002969,CUST-106,560.23,false,true,Grocery,11.20,5.60,16.81
TXN-2023-002970,CUST-106,647.94,true,false,Fresh,12.96,0.00,12.96
TXN-2023-002971,CUST-106,397.63,false,false,Fresh,7.95,0.00,7.95
TXN-2023-002972,CUST-106,1358.65,true,false,Fresh,27.17,0.00,27.17
TXN-2023-002973,CUST-106,337.27,false,false,Fresh,6.75,0.00,6.75
TXN-2023-002974,CUST-106,1011.12,true,false,Fresh,20.22,0.00,20.22
TXN-2023-002975,CUST-106,412.64,true,false,Fresh,8.25,0.00,8.25
TXN-2023-002976,CUST-106,197.56,true,false,Fresh,3.95,0.00,3.95
TXN-2023-002977,CUST-107,3254.30,true,false,Grocery,81.36,0.00,81.36
TXN-2023-002978,CUST-107,1917.25,true,false,Grocery,38.35,0.00,38.35
TXN-2023-002979,CUST-107,2002.49,true,false,Grocery,50.06,0.00,50.06
TXN-2023-002980,CUST-107,3402.22,true,false,Delicatessen,85.06,0.00,85.06
TXN-2023-002981,CUST-107,1896.66,true,false,Milk,37.93,0.00,37.93
TXN-2023-002982,CUST-107,563.08,false,false,Milk,11.26,0.00,11.26
TXN-2023-002983,CUST-107,1625.31,false,false,Milk,32.51,0.00,32.51
TXN-2023-002984,CUST-107,3112.37,true,false,Grocery,77.81,0.00,77.81
TXN-2023-002985,CUST-107,1212.60,true,false,Fresh,24.25,0.00,24.25
TXN-2023-002986,CUST-107,2733.10,true,false,Milk,68.33,0.00,68.33
TXN-2023-002987,CUST-107,1171.19,true,false,DetergentsPaper,23.42,0.00,23.42
TXN-2023-002988,CUST-107,1705.25,true,false,Grocery,34.11,0.00,34.11
TXN-2023-002989,CUST-107,2044.15,true,false,Grocery,51.10,0.00,51.10
TXN-2023-002990,CUST-107,649.04,true,false,Grocery,12.98,0.00,12.98
TXN-2023-002991,CUST-108,1567.36,true,false,Fresh,31.35,0.00,31.35
TXN-2023-002992,CUST-108,4467.51,true,false,DetergentsPaper,111.69,0.00,111.69
TXN-2023-002993,CUST-108,1577.91,true,true,Milk,31.56,15.78,47.34
TXN-2023-002994,CUST-108,5572.27,true,false,Frozen,139.31,0.00,139.31
TXN-2023-002995,CUST-108,6334.56,true,true,Grocery,158.36,63.35,221.71
TXN-2023-002996,CUST-108,4529.95,true,false,Grocery,113.25,0.00,113.25
TXN-2023-002997,CUST-108,3441.24,true,false,Grocery,86.03,0.00,86.03
TXN-2023-002998,CUST-108,2607.20,true,true,Milk,65.18,26.07,91.25
TXN-2023-002999,CUST-108,4669.47,true,false,Frozen,116.74,0.00,116.74
TXN-2023-003000,CUST-108,2893.51,true,false,Milk,72.34,0.00,72.34
TXN-2023-003001,CUST-108,5433.34,true,false,Milk,135.83,0.00,135.83
TXN-2023-003002,CUST-108,4112.67,true,false,Grocery,102.82,0.00,102.82
TXN-2023-003003,CUST-109,835.94,true,false,Milk,16.72,0.00,16.72
TXN-2023-003004,CUST-109,417.76,true,false,Grocery,8.36,0.00,8.36
TXN-2023-003005,CUST-109,1548.07,true,false,Milk,30.96,0.00,30.96
TXN-2023-003006,CUST-109,1050.41,false,false,Grocery,21.01,0.00,21.01
TXN-2023-003007,CUST-109,1564.73,true,false,Milk,31.29,0.00,31.29
TXN-2023-003008,CUST-109,862.73,true,false,Fresh,17.25,0.00,17.25
TXN-2023-003009,CUST-109,1211.63,true,false,Milk,24.23,0.00,24.23
TXN-2023-003010,CUST-109,692.27,true,false,DetergentsPaper,13.85,0.00,13.85
TXN-2023-003011,CUST-109,1493.51,true,false,Milk,29.87,0.00,29.87
TXN-2023-003012,CUST-109,1028.44,true,false,Milk,20.57,0.00,20.57
TXN-2023-003013,CUST-109,1577.35,true,false,DetergentsPaper,31.55,0.00,31.55
TXN-2023-003014,CUST-109,1935.09,true,false,Milk,38.70,0.00,38.70
TXN-2023-003015,CUST-109,1572.66,true,false,Milk,31.45,0.00,31.45
TXN-2023-003016,CUST-109,749.41,true,false,Milk,14.99,0.00,14.99
TXN-2023-003017,CUST-109,1102.81,true,false,DetergentsPaper,22.06,0.00,22.06
TXN-2023-003018,CUST-109,1628.02,true,true,DetergentsPaper,32.56,16.28,48.84
TXN-2023-003019,CUST-109,1626.18,false,false,Milk,32.52,0.00,32.52
TXN-2023-003020,CUST-110,8507.23,true,true,Grocery,212.68,85.07,297.75
TXN-2023-003021,CUST-110,2513.83,false,false,Grocery,62.85,0.00,62.85
TXN-2023-003022,CUST-110,2803.68,true,true,Grocery,70.09,28.04,98.13
TXN-2023-003023,CUST-110,3012.09,true,false,Milk,75.30,0.00,75.30
TXN-2023-003024,CUST-110,1385.95,true,false,DetergentsPaper,27.72,0.00,27.72
TXN-2023-003025,CUST-110,3224.20,true,false,DetergentsPaper,80.61,0.00,80.61
TXN-2023-003026,CUST-110,1672.43,true,false,Grocery,33.45,0.00,33.45
TXN-2023-003027,CUST-110,1963.79,true,false,Milk,39.28,0.00,39.28
TXN-2023-003028,CUST-110,7798.99,true,false,Grocery,194.97,0.00,194.97
TXN-2023-003029,CUST-110,8945.14,true,false,Grocery,223.63,0.00,223.63
TXN-2023-003030,CUST-110,2866.05,true,false,Grocery,71.65,0.00,71.65
TXN-2023-003031,CUST-110,3939.62,true,false,Grocery,98.49,0.00,98.49
TXN-2023-003032,CUST-111,294.40,false,false,Fresh,5.89,0.00,5.89
TXN-2023-003033,CUST-111,818.79,false,false,Fresh,16.38,0.00,16.38
TXN-2023-003034,CUST-111,403.07,false,false,Delicatessen,8.06,0.00,8.06
TXN-2023-003035,CUST-111,800.45,false,false,Frozen,16.01,0.00,16.01
TXN-2023-003036,CUST-111,295.42,true,false,Fresh,5.91,0.00,5.91
TXN-2023-003037,CUST-111,961.71,true,false,Fresh,19.23,0.00,19.23
TXN-2023-003038,CUST-111,1009.47,true,false,Fresh,20.19,0.00,20.19
TXN-2023-003039,CUST-111,169.91,true,false,Fresh,3.40,0.00,3.40
TXN-2023-003040,CUST-111,283.68,true,false,Fresh,5.67,0.00,5.67
TXN-2023-003041,CUST-111,233.57,true,false,Fresh,4.67,0.00,4.67
TXN-2023-003042,CUST-111,488.53,true,false,Fresh,9.77,0.00,9.77
TXN-2023-003043,CUST-111,256.74,true,false,Delicatessen,5.13,0.00,5.13
TXN-2023-003044,CUST-111,504.57,true,true,Delicatessen,10.09,5.05,15.14
TXN-2023-003045,CUST-111,639.47,true,false,Fresh,12.79,0.00,12.79
TXN-2023-003046,CUST-111,291.50,true,false,Grocery,5.83,0.00,5.83
TXN-2023-003047,CUST-111,422.19,true,false,Milk,8.44,0.00,8.44
TXN-2023-003048,CUST-111,317.44,false,true,Grocery,6.35,3.17,9.52
TXN-2023-003049,CUST-111,168.10,false,false,Fresh,3.36,0.00,3.36
TXN-2023-003050,CUST-111,706.02,true,false,Frozen,14.12,0.00,14.12
TXN-2023-003051,CUST-111,224.21,true,true,Fresh,4.48,2.24,6.73
TXN-2023-003052,CUST-111,190.88,true,false,Fresh,3.82,0.00,3.82
TXN-2023-003053,CUST-111,640.24,true,true,DetergentsPaper,12.80,6.40,19.21
TXN-2023-003054,CUST-111,507.10,true,false,Grocery,10.14,0.00,10.14
TXN-2023-003055,CUST-111,264.74,true,false,Fresh,5.29,0.00,5.29
TXN-2023-003056,CUST-111,205.44,true,false,Fresh,4.11,0.00,4.11
TXN-2023-003057,CUST-111,470.13,true,false,Fresh,9.40,0.00,9.40
TXN-2023-003058,CUST-111,176.77,true,false,Fresh,3.54,0.00,3.54
TXN-2023-003059,CUST-111,469.20,true,false,Fresh,9.38,0.00,9.38
TXN-2023-003060,CUST-111,241.21,false,false,Frozen,4.82,0.00,4.82
TXN-2023-003061,CUST-111,203.60,true,false,Fresh,4.07,0.00,4.07
TXN-2023-003062,CUST-111,225.47,true,false,Grocery,4.51,0.00,4.51
TXN-2023-003063,CUST-111,421.29,true,false,Fresh,8.43,0.00,8.43
TXN-2023-003064,CUST-111,213.30,true,false,Fresh,4.27,0.00,4.27
TXN-2023-003065,CUST-111,475.29,true,false,Fresh,9.51,0.00,9.51
TXN-2023-003066,CUST-111,359.89,false,false,Fresh,7.20,0.00,7.20
TXN-2023-003067,CUST-111,152.92,false,false,Frozen,3.06,0.00,3.06
TXN-2023-003068,CUST-111,166.41,true,true,Milk,3.33,1.66,4.99
TXN-2023-003069,CUST-111,354.45,true,false,Fresh,7.09,0.00,7.09
TXN-2023-003070,CUST-111,193.14,false,false,Fresh,3.86,0.00,3.86
TXN-2023-003071,CUST-111,633.27,false,false,Fresh,12.67,0.00,12.67
TXN-2023-003072,CUST-111,902.47,true,false,Fresh,18.05,0.00,18.05
TXN-2023-003073,CUST-111,315.57,false,false,Fresh,6.31,0.00,6.31
TXN-2023-003074,CUST-111,402.80,true,false,Fresh,8.06,0.00,8.06
TXN-2023-003075,CUST-111,209.82,true,true,Fresh,4.20,2.10,6.29
TXN-2023-003076,CUST-111,198.82,true,false,Fresh,3.98,0.00,3.98
TXN-2023-003077,CUST-111,209.41,true,false,Fresh,4.19,0.00,4.19
TXN-2023-003078,CUST-111,685.80,true,false,Grocery,13.72,0.00,13.72
TXN-2023-003079,CUST-111,473.32,true,false,Delicatessen,9.47,0.00,9.47
TXN-2023-003080,CUST-112,4413.14,true,false,Fresh,110.33,0.00,110.33
TXN-2023-003081,CUST-112,1946.75,true,false,Milk,38.94,0.00,38.94
TXN-2023-003082,CUST-112,3252.03,true,false,Fresh,81.30,0.00,81.30
TXN-2023-003083,CUST-112,2162.12,true,false,Milk,54.05,0.00,54.05
TXN-2023-003084,CUST-112,6201.27,true,false,DetergentsPaper,155.03,0.00,155.03
TXN-2023-003085,CUST-112,2200.14,true,false,Fresh,55.00,0.00,55.00
TXN-2023-003086,CUST-112,1538.45,true,false,Frozen,30.77,0.00,30.77
TXN-2023-003087,CUST-112,3237.01,true,false,Fresh,80.93,0.00,80.93
TXN-2023-003088,CUST-112,6090.68,true,false,Grocery,152.27,0.00,152.27
TXN-2023-003089,CUST-112,3387.05,true,false,DetergentsPaper,84.68,0.00,84.68
TXN-2023-003090,CUST-112,2035.71,true,false,Grocery,50.89,0.00,50.89
TXN-2023-003091,CUST-112,1093.01,true,false,Fresh,21.86,0.00,21.86
TXN-2023-003092,CUST-112,2436.90,true,false,DetergentsPaper,60.92,0.00,60.92
TXN-2023-003093,CUST-112,2898.46,true,false,DetergentsPaper,72.46,0.00,72.46
TXN-2023-003094,CUST-112,4453.17,true,false,Grocery,111.33,0.00,111.33
TXN-2023-003095,CUST-112,2697.11,true,false,Grocery,67.43,0.00,67.43
TXN-2023-003096,CUST-113,563.38,true,false,Fresh,11.27,0.00,11.27
TXN-2023-003097,CUST-113,840.96,false,false,Fresh,16.82,0.00,16.82
TXN-2023-003098,CUST-113,250.19,true,false,Fresh,5.00,0.00,5.00
TXN-2023-003099,CUST-113,600.70,true,true,Fresh,12.01,6.01,18.02
TXN-2023-003100,CUST-113,395.72,true,false,Grocery,7.91,0.00,7.91
TXN-2023-003101,CUST-113,609.77,true,false,Fresh,12.20,0.00,12.20
TXN-2023-003102,CUST-113,917.70,true,false,Fresh,18.35,0.00,18.35
TXN-2023-003103,CUST-113,1018.91,true,false,Fresh,20.38,0.00,20.38
TXN-2023-003104,CUST-113,1255.16,false,false,Milk,25.10,0.00,25.10
TXN-2023-003105,CUST-113,427.06,false,false,Fresh,8.54,0.00,8.54
TXN-2023-003106,CUST-113,582.69,true,false,Frozen,11.65,0.00,11.65
TXN-2023-003107,CUST-113,1447.77,false,false,Fresh,28.96,0.00,28.96
TXN-2023-003108,CUST-113,1177.79,true,true,Frozen,23.56,11.78,35.33
TXN-2023-003109,CUST-113,1248.76,true,false,Delicatessen,24.98,0.00,24.98
TXN-2023-003110,CUST-113,1486.48,true,false,Delicatessen,29.73,0.00,29.73
TXN-2023-003111,CUST-113,973.58,true,false,Fresh,19.47,0.00,19.47
TXN-2023-003112,CUST-113,1656.80,false,false,Frozen,33.14,0.00,33.14
TXN-2023-003113,CUST-113,557.91,true,false,Grocery,11.16,0.00,11.16
TXN-2023-003114,CUST-113,602.52,true,false,Milk,12.05,0.00,12.05
TXN-2023-003115,CUST-113,1572.83,true,false,Frozen,31.46,0.00,31.46
TXN-2023-003116,CUST-113,528.87,false,false,Frozen,10.58,0.00,10.58
TXN-2023-003117,CUST-113,649.44,false,true,Fresh,12.99,6.49,19.48
TXN-2023-003118,CUST-113,766.70,true,false,Fresh,15.33,0.00,15.33
TXN-2023-003119,CUST-113,404.16,false,false,Frozen,8.08,0.00,8.08
TXN-2023-003120,CUST-113,388.69,false,false,Frozen,7.77,0.00,7.77
TXN-2023-003121,CUST-113,448.67,true,false,Fresh,8.97,0.00,8.97
TXN-2023-003122,CUST-113,517.82,true,false,DetergentsPaper,10.36,0.00,10.36
TXN-2023-003123,CUST-113,396.18,true,false,Fresh,7.92,0.00,7.92
TXN-2023-003124,CUST-113,703.34,false,false,Grocery,14.07,0.00,14.07
TXN-2023-003125,CUST-113,2069.40,true,true,Fresh,51.74,20.69,72.43
TXN-2023-003126,CUST-113,1116.61,false,false,Fresh,22.33,0.00,22.33
TXN-2023-003127,CUST-113,858.00,true,false,Fresh,17.16,0.00,17.16
TXN-2023-003128,CUST-113,1072.11,true,true,DetergentsPaper,21.44,10.72,32.16
TXN-2023-003129,CUST-113,927.76,true,false,Milk,18.56,0.00,18.56
TXN-2023-003130,CUST-113,546.31,false,false,Fresh,10.93,0.00,10.93
TXN-2023-003131,CUST-113,532.65,true,false,Frozen,10.65,0.00,10.65
TXN-2023-003132,CUST-113,1391.83,true,false,Fresh,27.84,0.00,27.84
TXN-2023-003133,CUST-113,504.02,true,true,Fresh,10.08,5.04,15.12
TXN-2023-003134,CUST-113,1162.02,true,false,Fresh,23.24,0.00,23.24
TXN-2023-003135,CUST-113,360.36,true,false,Frozen,7.21,0.00,7.21
TXN-2023-003136,CUST-113,592.11,true,false,Fresh,11.84,0.00,11.84
TXN-2023-003137,CUST-113,998.27,true,false,Frozen,19.97,0.00,19.97
TXN-2023-003138,CUST-113,641.58,false,false,Fresh,12.83,0.00,12.83
TXN-2023-003139,CUST-113,565.42,true,false,Grocery,11.31,0.00,11.31
TXN-2023-003140,CUST-114,958.71,true,false,Fresh,19.17,0.00,19.17
TXN-2023-003141,CUST-114,680.82,true,false,Fresh,13.62,0.00,13.62
TXN-2023-003142,CUST-114,718.99,true,false,Fresh,14.38,0.00,14.38
TXN-2023-003143,CUST-114,546.24,true,false,Fresh,10.92,0.00,10.92
TXN-2023-003144,CUST-114,369.97,true,false,Fresh,7.40,0.00,7.40
TXN-2023-003145,CUST-114,330.85,false,false,Fresh,6.62,0.00,6.62
TXN-2023-003146,CUST-114,1012.89,true,false,Fresh,20.26,0.00,20.26
TXN-2023-003147,CUST-114,630.41,false,true,Fresh,12.61,6.30,18.91
TXN-2023-003148,CUST-114,335.48,true,false,Fresh,6.71,0.00,6.71
TXN-2023-003149,CUST-114,727.83,false,false,Milk,14.56,0.00,14.56
TXN-2023-003150,CUST-114,318.29,true,false,Delicatessen,6.37,0.00,6.37
TXN-2023-003151,CUST-114,817.44,true,false,Fresh,16.35,0.00,16.35
TXN-2023-003152,CUST-114,864.62,false,false,Frozen,17.29,0.00,17.29
TXN-2023-003153,CUST-114,626.91,true,false,Fresh,12.54,0.00,12.54
TXN-2023-003154,CUST-114,449.57,true,false,Fresh,8.99,0.00,8.99
TXN-2023-003155,CUST-114,548.18,true,false,Fresh,10.96,0.00,10.96
TXN-2023-003156,CUST-114,473.11,false,false,Fresh,9.46,0.00,9.46
TXN-2023-003157,CUST-114,762.38,true,true,Milk,15.25,7.62,22.87
TXN-2023-003158,CUST-114,1039.45,true,false,Milk,20.79,0.00,20.79
TXN-2023-003159,CUST-114,272.46,true,false,Frozen,5.45,0.00,5.45
TXN-2023-003160,CUST-114,985.28,false,false,Milk,19.71,0.00,19.71
TXN-2023-003161,CUST-114,184.93,true,false,Fresh,3.70,0.00,3.70
TXN-2023-003162,CUST-114,1074.86,true,false,Fresh,21.50,0.00,21.50
TXN-2023-003163,CUST-114,497.34,true,false,Fresh,9.95,0.00,9.95
TXN-2023-003164,CUST-114,1099.63,true,false,Fresh,21.99,0.00,21.99
TXN-2023-003165,CUST-114,420.86,true,false,Fresh,8.42,0.00,8.42
TXN-2023-003166,CUST-114,1640.53,true,true,Fresh,32.81,16.41,49.22
TXN-2023-003167,CUST-114,649.33,false,false,Fresh,12.99,0.00,12.99
TXN-2023-003168,CUST-114,1979.48,true,false,Grocery,39.59,0.00,39.59
TXN-2023-003169,CUST-114,792.09,true,false,Fresh,15.84,0.00,15.84
TXN-2023-003170,CUST-114,759.68,false,true,Grocery,15.19,7.60,22.79
TXN-2023-003171,CUST-114,414.00,false,true,Milk,8.28,4.14,12.42
TXN-2023-003172,CUST-114,849.39,true,false,Frozen,16.99,0.00,16.99
TXN-2023-003173,CUST-115,248.67,true,false,Fresh,4.97,0.00,4.97
TXN-2023-003174,CUST-115,430.61,true,false,Fresh,8.61,0.00,8.61
TXN-2023-003175,CUST-115,425.86,true,false,Fresh,8.52,0.00,8.52
TXN-2023-003176,CUST-115,615.68,true,false,Frozen,12.31,0.00,12.31
TXN-2023-003177,CUST-115,610.71,true,false,Fresh,12.21,0.00,12.21
TXN-2023-003178,CUST-115,803.69,true,false,Milk,16.07,0.00,16.07
TXN-2023-003179,CUST-115,598.77,true,false,Fresh,11.98,0.00,11.98
TXN-2023-003180,CUST-115,700.22,true,false,Fresh,14.00,0.00,14.00
TXN-2023-003181,CUST-115,378.27,false,false,Fresh,7.57,0.00,7.57
TXN-2023-003182,CUST-115,632.16,true,false,Frozen,12.64,0.00,12.64
TXN-2023-003183,CUST-115,484.28,false,false,Fresh,9.69,0.00,9.69
TXN-2023-003184,CUST-115,594.46,true,false,Fresh,11.89,0.00,11.89
TXN-2023-003185,CUST-115,461.73,false,false,Fresh,9.23,0.00,9.23
TXN-2023-003186,CUST-115,450.42,true,false,Fresh,9.01,0.00,9.01
TXN-2023-003187,CUST-115,2123.46,true,false,Fresh,53.09,0.00,53.09
TXN-2023-003188,CUST-115,408.13,true,false,Fresh,8.16,0.00,8.16
TXN-2023-003189,CUST-115,555.35,true,false,Fresh,11.11,0.00,11.11
TXN-2023-003190,CUST-115,226.89,true,false,Fresh,4.54,0.00,4.54
TXN-2023-003191,CUST-115,479.89,true,false,Frozen,9.60,0.00,9.60
TXN-2023-003192,CUST-115,773.68,false,true,Fresh,15.47,7.74,23.21
TXN-2023-003193,CUST-115,1275.42,true,false,Fresh,25.51,0.00,25.51
TXN-2023-003194,CUST-115,398.19,false,false,Fresh,7.96,0.00,7.96
TXN-2023-003195,CUST-115,606.89,false,true,Fresh,12.14,6.07,18.21
TXN-2023-003196,CUST-115,644.47,false,false,Fresh,12.89,0.00,12.89
TXN-2023-003197,CUST-115,332.29,true,false,Fresh,6.65,0.00,6.65
TXN-2023-003198,CUST-115,353.72,false,false,Frozen,7.07,0.00,7.07
TXN-2023-003199,CUST-115,645.91,true,false,Fresh,12.92,0.00,12.92
TXN-2023-003200,CUST-115,290.92,true,false,Fresh,5.82,0.00,5.82
TXN-2023-003201,CUST-115,275.51,false,false,Fresh,5.51,0.00,5.51
TXN-2023-003202,CUST-115,152.24,true,false,Fresh,3.04,0.00,3.04
TXN-2023-003203,CUST-115,1093.09,false,false,Frozen,21.86,0.00,21.86
TXN-2023-003204,CUST-115,500.46,true,false,Frozen,10.01,0.00,10.01
TXN-2023-003205,CUST-115,422.75,true,false,Fresh,8.46,0.00,8.46
TXN-2023-003206,CUST-115,1639.13,false,false,Fresh,32.78,0.00,32.78
TXN-2023-003207,CUST-115,703.43,true,true,Fresh,14.07,7.03,21.10
TXN-2023-003208,CUST-115,529.62,true,false,Fresh,10.59,0.00,10.59
TXN-2023-003209,CUST-115,605.61,false,false,Fresh,12.11,0.00,12.11
TXN-2023-003210,CUST-115,121.05,true,false,Frozen,2.42,0.00,2.42
TXN-2023-003211,CUST-115,719.10,true,false,Fresh,14.38,0.00,14.38
TXN-2023-003212,CUST-115,1248.46,false,false,Fresh,24.97,0.00,24.97
TXN-2023-003213,CUST-115,501.79,false,false,Fresh,10.04,0.00,10.04
TXN-2023-003214,CUST-116,508.41,true,false,Fresh,10.17,0.00,10.17
TXN-2023-003215,CUST-116,446.67,true,false,Fresh,8.93,0.00,8.93
TXN-2023-003216,CUST-116,950.49,false,false,Frozen,19.01,0.00,19.01
TXN-2023-003217,CUST-116,464.24,false,false,Fresh,9.28,0.00,9.28
TXN-2023-003218,CUST-116,935.82,false,false,Frozen,18.72,0.00,18.72
TXN-2023-003219,CUST-116,232.80,false,false,Fresh,4.66,0.00,4.66
TXN-2023-003220,CUST-116,854.25,false,false,Grocery,17.09,0.00,17.09
TXN-2023-003221,CUST-116,671.77,true,false,Grocery,13.44,0.00,13.44
TXN-2023-003222,CUST-116,415.45,true,true,Fresh,8.31,4.15,12.46
TXN-2023-003223,CUST-116,1190.24,true,true,Fresh,23.80,11.90,35.71
TXN-2023-003224,CUST-116,1343.97,true,false,Fresh,26.88,0.00,26.88
TXN-2023-003225,CUST-116,374.76,false,false,Fresh,7.50,0.00,7.50
TXN-2023-003226,CUST-116,242.84,false,false,Fresh,4.86,0.00,4.86
TXN-2023-003227,CUST-116,1338.66,true,true,Fresh,26.77,13.39,40.16
TXN-2023-003228,CUST-116,978.12,true,true,Frozen,19.56,9.78,29.34
TXN-2023-003229,CUST-116,403.90,true,false,Delicatessen,8.08,0.00,8.08
TXN-2023-003230,CUST-116,546.82,false,false,Grocery,10.94,0.00,10.94
TXN-2023-003231,CUST-116,768.51,true,false,Fresh,15.37,0.00,15.37
TXN-2023-003232,CUST-116,629.82,false,false,Grocery,12.60,0.00,12.60
TXN-2023-003233,CUST-116,647.86,true,false,Delicatessen,12.96,0.00,12.96
TXN-2023-003234,CUST-116,391.36,true,true,Grocery,7.83,3.91,11.74
TXN-2023-003235,CUST-116,468.13,true,false,Fresh,9.36,0.00,9.36
TXN-2023-003236,CUST-116,871.35,false,false,Fresh,17.43,0.00,17.43
TXN-2023-003237,CUST-116,371.28,true,false,Fresh,7.43,0.00,7.43
TXN-2023-003238,CUST-116,566.87,true,true,Fresh,11.34,5.67,17.01
TXN-2023-003239,CUST-116,400.27,true,false,Frozen,8.01,0.00,8.01
TXN-2023-003240,CUST-116,1240.41,true,true,Fresh,24.81,12.40,37.21
TXN-2023-003241,CUST-116,260.92,false,false,Delicatessen,5.22,0.00,5.22
TXN-2023-003242,CUST-117,463.75,true,false,Frozen,9.28,0.00,9.28
TXN-2023-003243,CUST-117,290.71,true,false,Fresh,5.81,0.00,5.81
TXN-2023-003244,CUST-117,977.24,false,false,Fresh,19.54,0.00,19.54
TXN-2023-003245,CUST-117,199.14,true,false,Frozen,3.98,0.00,3.98
TXN-2023-003246,CUST-117,169.17,false,false,Fresh,3.38,0.00,3.38
TXN-2023-003247,CUST-117,317.55,false,false,Fresh,6.35,0.00,6.35
TXN-2023-003248,CUST-117,329.22,true,true,Milk,6.58,3.29,9.88
TXN-2023-003249,CUST-117,393.10,true,false,Fresh,7.86,0.00,7.86
TXN-2023-003250,CUST-117,439.33,true,false,Milk,8.79,0.00,8.79
TXN-2023-003251,CUST-117,484.36,true,false,Frozen,9.69,0.00,9.69
TXN-2023-003252,CUST-117,283.44,true,false,Grocery,5.67,0.00,5.67
TXN-2023-003253,CUST-117,205.68,false,false,Milk,4.11,0.00,4.11
TXN-2023-003254,CUST-117,1033.09,true,true,Grocery,20.66,10.33,30.99
TXN-2023-003255,CUST-117,561.10,true,false,Fresh,11.22,0.00,11.22
TXN-2023-003256,CUST-117,248.20,true,false,Fresh,4.96,0.00,4.96
TXN-2023-003257,CUST-117,370.60,true,false,Fresh,7.41,0.00,7.41
TXN-2023-003258,CUST-117,211.70,false,false,Fresh,4.23,0.00,4.23
TXN-2023-003259,CUST-117,223.65,true,false,Milk,4.47,0.00,4.47
TXN-2023-003260,CUST-117,555.17,true,true,Milk,11.10,5.55,16.66
TXN-2023-003261,CUST-117,134.95,false,false,Fresh,2.70,0.00,2.70
TXN-2023-003262,CUST-117,179.50,true,false,Frozen,3.59,0.00,3.59
TXN-2023-003263,CUST-117,178.29,true,false,Delicatessen,3.57,0.00,3.57
TXN-2023-003264,CUST-117,156.11,true,false,Fresh,3.12,0.00,3.12
TXN-2023-003265,CUST-117,259.89,true,false,Grocery,5.20,0.00,5.20
TXN-2023-003266,CUST-117,389.20,true,false,Fresh,7.78,0.00,7.78
TXN-2023-003267,CUST-117,375.36,true,false,Fresh,7.51,0.00,7.51
TXN-2023-003268,CUST-117,351.61,false,false,Fresh,7.03,0.00,7.03
TXN-2023-003269,CUST-117,635.25,true,false,Fresh,12.71,0.00,12.71
TXN-2023-003270,CUST-117,397.96,false,true,Fresh,7.96,3.98,11.94
TXN-2023-003271,CUST-117,259.49,true,false,Grocery,5.19,0.00,5.19
TXN-2023-003272,CUST-117,575.28,true,true,Grocery,11.51,5.75,17.26
TXN-2023-003273,CUST-117,181.52,false,false,Fresh,3.63,0.00,3.63
TXN-2023-003274,CUST-117,578.57,true,false,Milk,11.57,0.00,11.57
TXN-2023-003275,CUST-117,358.76,false,false,Fresh,7.18,0.00,7.18
TXN-2023-003276,CUST-117,259.20,true,false,Fresh,5.18,0.00,5.18
TXN-2023-003277,CUST-117,443.71,true,false,Grocery,8.87,0.00,8.87
TXN-2023-003278,CUST-117,411.43,true,false,Fresh,8.23,0.00,8.23
TXN-2023-003279,CUST-117,956.49,true,false,Fresh,19.13,0.00,19.13
TXN-2023-003280,CUST-117,307.23,true,false,Fresh,6.14,0.00,6.14
TXN-2023-003281,CUST-117,400.32,false,false,Milk,8.01,0.00,8.01
TXN-2023-003282,CUST-117,648.71,false,false,Fresh,12.97,0.00,12.97
TXN-2023-003283,CUST-117,212.34,true,true,Fresh,4.25,2.12,6.37
TXN-2023-003284,CUST-117,762.02,false,false,Frozen,15.24,0.00,15.24
TXN-2023-003285,CUST-117,555.52,false,false,DetergentsPaper,11.11,0.00,11.11
TXN-2023-003286,CUST-117,609.44,false,false,Fresh,12.19,0.00,12.19
TXN-2023-003287,CUST-117,247.04,true,true,Grocery,4.94,2.47,7.41
TXN-2023-003288,CUST-117,516.59,true,false,Fresh,10.33,0.00,10.33
TXN-2023-003289,CUST-118,251.64,true,false,Grocery,5.03,0.00,5.03
TXN-2023-003290,CUST-118,1083.07,false,false,Grocery,21.66,0.00,21.66
TXN-2023-003291,CUST-118,535.84,true,false,Milk,10.72,0.00,10.72
TXN-2023-003292,CUST-118,302.07,true,true,Fresh,6.04,3.02,9.06
TXN-2023-003293,CUST-118,422.45,true,false,Fresh,8.45,0.00,8.45
TXN-2023-003294,CUST-118,287.53,true,false,Grocery,5.75,0.00,5.75
TXN-2023-003295,CUST-118,355.94,false,false,Fresh,7.12,0.00,7.12
TXN-2023-003296,CUST-118,347.94,true,false,Fresh,6.96,0.00,6.96
TXN-2023-003297,CUST-118,402.78,false,false,Fresh,8.06,0.00,8.06
TXN-2023-003298,CUST-118,416.30,true,false,Grocery,8.33,0.00,8.33
TXN-2023-003299,CUST-118,395.00,true,false,Grocery,7.90,0.00,7.90
TXN-2023-003300,CUST-118,367.38,true,false,Grocery,7.35,0.00,7.35
TXN-2023-003301,CUST-118,768.88,false,false,DetergentsPaper,15.38,0.00,15.38
TXN-2023-003302,CUST-118,232.45,true,true,Grocery,4.65,2.32,6.97
TXN-2023-003303,CUST-118,591.39,true,false,Fresh,11.83,0.00,11.83
